Year,Entity,Code,Average annual working hours per worker
1950,Argentina,ARG,2034.0
1951,Argentina,ARG,2037.8667
1952,Argentina,ARG,2041.7408
1953,Argentina,ARG,2045.6223
1954,Argentina,ARG,2049.5112
1955,Argentina,ARG,2053.4075
1956,Argentina,ARG,2057.311
1957,Argentina,ARG,2061.2222
1958,Argentina,ARG,2065.1406
1959,Argentina,ARG,2069.0667
1960,Argentina,ARG,2073.0
1961,Argentina,ARG,2066.2004
1962,Argentina,ARG,2059.4233
1963,Argentina,ARG,2052.6685
1964,Argentina,ARG,2045.9355
1965,Argentina,ARG,2039.2249
1966,Argentina,ARG,2032.5361
1967,Argentina,ARG,2025.8694
1968,Argentina,ARG,2019.2245
1969,Argentina,ARG,2012.6013
1970,Argentina,ARG,2006.0
1971,Argentina,ARG,2002.6611
1972,Argentina,ARG,1999.3278
1973,Argentina,ARG,1996.0
1974,Argentina,ARG,1992.8422
1975,Argentina,ARG,1989.6893
1976,Argentina,ARG,1986.5415
1977,Argentina,ARG,1983.3987
1978,Argentina,ARG,1980.2609
1979,Argentina,ARG,1977.1279
1980,Argentina,ARG,1974.0
1981,Argentina,ARG,1961.2301
1982,Argentina,ARG,1948.5427
1983,Argentina,ARG,1935.9375
1984,Argentina,ARG,1923.4137
1985,Argentina,ARG,1910.9711
1986,Argentina,ARG,1898.6089
1987,Argentina,ARG,1886.3267
1988,Argentina,ARG,1874.1238
1989,Argentina,ARG,1862.0
1990,Argentina,ARG,1850.0
1991,Argentina,ARG,1837.9608
1992,Argentina,ARG,1826.0
1993,Argentina,ARG,1850.3378
1994,Argentina,ARG,1875.0
1995,Argentina,ARG,1881.9612
1996,Argentina,ARG,1888.9481
1997,Argentina,ARG,1895.9611
1998,Argentina,ARG,1903.0
1999,Argentina,ARG,1887.285
2000,Argentina,ARG,1862.1362
2001,Argentina,ARG,1811.1526
2002,Argentina,ARG,1710.0365
2003,Argentina,ARG,1713.5746
2004,Argentina,ARG,1730.8173
2005,Argentina,ARG,1761.3994
2006,Argentina,ARG,1765.6013
2007,Argentina,ARG,1780.5565
2008,Argentina,ARG,1781.4246
2009,Argentina,ARG,1742.9043
2010,Argentina,ARG,1751.7655
2011,Argentina,ARG,1750.9741
2012,Argentina,ARG,1726.2584
2013,Argentina,ARG,1714.8711
2014,Argentina,ARG,1695.364
2015,Argentina,ARG,1691.5363
2016,Argentina,ARG,1691.5363
2017,Argentina,ARG,1691.5363
2018,Argentina,ARG,1691.5363
2019,Argentina,ARG,1691.5363
2020,Argentina,ARG,1691.5363
2021,Argentina,ARG,1691.5363
2022,Argentina,ARG,1691.5363
1870,Australia,AUS,2792.0
1871,Australia,AUS,2777.5
1872,Australia,AUS,2763.0
1873,Australia,AUS,2748.5
1874,Australia,AUS,2734.0
1875,Australia,AUS,2719.5
1876,Australia,AUS,2705.0
1877,Australia,AUS,2690.5
1878,Australia,AUS,2676.0
1879,Australia,AUS,2661.5
1880,Australia,AUS,2647.0
1881,Australia,AUS,2632.4
1882,Australia,AUS,2617.8
1883,Australia,AUS,2603.2
1884,Australia,AUS,2588.6
1885,Australia,AUS,2574.0
1886,Australia,AUS,2559.4
1887,Australia,AUS,2544.8
1888,Australia,AUS,2530.2
1889,Australia,AUS,2515.6
1890,Australia,AUS,2501.0
1891,Australia,AUS,2489.4
1892,Australia,AUS,2477.8
1893,Australia,AUS,2466.2
1894,Australia,AUS,2454.6
1895,Australia,AUS,2443.0
1896,Australia,AUS,2431.4
1897,Australia,AUS,2419.8
1898,Australia,AUS,2408.2
1899,Australia,AUS,2396.6
1900,Australia,AUS,2385.0
1901,Australia,AUS,2371.846153846154
1902,Australia,AUS,2358.6923076923076
1903,Australia,AUS,2345.5384615384614
1904,Australia,AUS,2332.3846153846152
1905,Australia,AUS,2319.230769230769
1906,Australia,AUS,2306.076923076923
1907,Australia,AUS,2292.923076923077
1908,Australia,AUS,2279.769230769231
1909,Australia,AUS,2266.6153846153848
1910,Australia,AUS,2253.4615384615386
1911,Australia,AUS,2240.3076923076924
1912,Australia,AUS,2227.153846153846
1913,Australia,AUS,2214.0
1914,Australia,AUS,2212.25
1915,Australia,AUS,2210.5
1916,Australia,AUS,2208.75
1917,Australia,AUS,2207.0
1918,Australia,AUS,2205.25
1919,Australia,AUS,2203.5
1920,Australia,AUS,2201.75
1921,Australia,AUS,2200.0
1922,Australia,AUS,2198.25
1923,Australia,AUS,2196.5
1924,Australia,AUS,2194.75
1925,Australia,AUS,2193.0
1926,Australia,AUS,2191.25
1927,Australia,AUS,2189.5
1928,Australia,AUS,2187.75
1929,Australia,AUS,2186.0
1930,Australia,AUS,2177.4444444444443
1931,Australia,AUS,2168.8888888888887
1932,Australia,AUS,2160.3333333333335
1933,Australia,AUS,2151.777777777778
1934,Australia,AUS,2143.222222222222
1935,Australia,AUS,2134.6666666666665
1936,Australia,AUS,2126.1111111111113
1937,Australia,AUS,2117.5555555555557
1938,Australia,AUS,2109.0
1939,Australia,AUS,2114.770466666667
1940,Australia,AUS,2120.540933333333
1941,Australia,AUS,2126.3114
1942,Australia,AUS,2132.081866666667
1943,Australia,AUS,2137.8523333333333
1944,Australia,AUS,2143.6228
1945,Australia,AUS,2149.393266666667
1946,Australia,AUS,2155.1637333333333
1947,Australia,AUS,2160.9342
1948,Australia,AUS,2166.704666666667
1949,Australia,AUS,2172.4751333333334
1950,Australia,AUS,2178.2456
1951,Australia,AUS,2158.1013
1952,Australia,AUS,2138.1436
1953,Australia,AUS,2118.3701
1954,Australia,AUS,2098.7798
1955,Australia,AUS,2079.3704
1956,Australia,AUS,2060.1406
1957,Australia,AUS,2041.0886
1958,Australia,AUS,2022.2129
1959,Australia,AUS,2003.5116
1960,Australia,AUS,1984.9834
1961,Australia,AUS,1981.3214
1962,Australia,AUS,1977.6663
1963,Australia,AUS,1974.0178
1964,Australia,AUS,1970.3761
1965,Australia,AUS,1966.7411
1966,Australia,AUS,1963.1128
1967,Australia,AUS,1959.4912
1968,Australia,AUS,1955.8762
1969,Australia,AUS,1952.2679
1970,Australia,AUS,1948.6664
1971,Australia,AUS,1929.967
1972,Australia,AUS,1909.5677
1973,Australia,AUS,1896.1807
1974,Australia,AUS,1913.4988
1975,Australia,AUS,1900.218
1976,Australia,AUS,1910.6301
1977,Australia,AUS,1912.4364
1978,Australia,AUS,1913.2864
1979,Australia,AUS,1918.705
1980,Australia,AUS,1919.1102
1981,Australia,AUS,1900.6442
1982,Australia,AUS,1881.5066
1983,Australia,AUS,1869.0269
1984,Australia,AUS,1883.6864
1985,Australia,AUS,1870.23
1986,Australia,AUS,1880.6699
1987,Australia,AUS,1877.5311
1988,Australia,AUS,1874.5796
1989,Australia,AUS,1887.2697
1990,Australia,AUS,1867.9515
1991,Australia,AUS,1853.8984
1992,Australia,AUS,1851.8408
1993,Australia,AUS,1869.6207
1994,Australia,AUS,1877.7278
1995,Australia,AUS,1875.9148
1996,Australia,AUS,1868.7593
1997,Australia,AUS,1867.0762
1998,Australia,AUS,1851.2338
1999,Australia,AUS,1855.8291
2000,Australia,AUS,1854.0353
2001,Australia,AUS,1818.213
2002,Australia,AUS,1814.1021
2003,Australia,AUS,1806.7209
2004,Australia,AUS,1805.0198
2005,Australia,AUS,1803.0101
2006,Australia,AUS,1791.9933
2007,Australia,AUS,1792.6515
2008,Australia,AUS,1790.54
2009,Australia,AUS,1761.7957
2010,Australia,AUS,1769.3094
2011,Australia,AUS,1768.6494
2012,Australia,AUS,1759.5193
2013,Australia,AUS,1755.8271
2014,Australia,AUS,1747.937
2015,Australia,AUS,1747.009
2016,Australia,AUS,1734.215
2017,Australia,AUS,1731.4943
2018,Australia,AUS,1731.4943
2019,Australia,AUS,1731.4943
2020,Australia,AUS,1731.4943
2021,Australia,AUS,1731.4943
2022,Australia,AUS,1731.4943
1950,Austria,AUT,2085.6694
1951,Austria,AUT,2083.0156
1952,Austria,AUT,2080.3652
1953,Austria,AUT,2077.718
1954,Austria,AUT,2075.0742
