category,description,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CP01,Food and non-alcoholic beverages,73.30,74.63,75.80,75.92,77.59,81.87,84.10,86.02,86.44,86.57,88.02,89.30,93.82,93.89,94.62,96.50,99.29,100.43,99.60,100.00,100.56,101.65,103.65,106.19,108.33,109.00,116.93
CP02,Alcoholic beverages and tobacco,48.47,50.75,51.85,53.67,55.25,57.05,59.86,65.09,74.41,74.51,74.81,76.22,79.00,80.75,83.66,86.72,91.21,95.93,99.42,100.00,100.46,102.10,109.91,117.22,126.07,130.27,131.99
CP03,Clothing and footwear,92.76,93.18,93.02,93.08,93.22,93.77,94.63,94.27,94.52,94.74,94.91,95.53,96.12,97.12,97.58,97.66,99.83,100.79,100.84,100.00,100.20,100.26,100.42,100.17,99.72,99.87,102.57
CP04,"Housing, water, electricity, gas and other fuels",64.36,65.31,65.60,65.61,66.87,67.59,68.70,70.56,72.53,75.98,79.51,81.86,85.74,85.64,88.46,92.40,95.54,97.88,99.59,100.00,99.88,101.48,103.90,105.46,105.24,109.17,119.34
CP05,Household furnishings/equipment/maintenance,82.93,83.57,84.22,84.61,85.05,86.65,87.91,89.08,90.19,91.08,91.96,92.97,94.51,95.93,96.19,97.24,99.07,100.17,100.05,100.00,99.87,99.65,99.87,100.03,100.64,102.08,107.90
CP06,Health,75.34,77.61,78.85,80.37,81.25,81.19,82.31,84.94,87.44,89.35,92.02,93.91,97.30,97.97,99.15,100.03,101.03,100.60,100.66,100.00,99.42,99.71,99.89,99.45,99.45,98.80,99.62
CP07,Transport,69.87,70.61,70.61,71.32,74.54,74.73,75.52,77.30,79.92,83.41,85.93,87.97,92.55,90.45,93.79,98.15,100.87,101.39,101.66,100.00,98.95,102.02,106.37,107.46,105.20,109.94,120.87
CP08,Communication,159.59,156.34,150.03,150.21,143.00,136.50,135.94,135.22,135.50,135.13,127.97,126.81,126.59,126.51,125.60,121.89,110.89,100.27,99.64,100.00,100.71,96.49,94.53,92.07,91.97,93.85,93.96
CP09,Recreation and culture,109.97,110.04,110.34,109.93,109.51,109.90,110.41,109.89,109.28,108.23,107.01,105.30,103.78,102.28,101.40,100.38,100.51,100.21,99.84,100.00,101.08,101.30,102.23,102.77,103.66,104.99,108.11
CP10,Education,62.48,63.08,63.86,64.91,65.97,67.50,69.31,71.23,73.22,75.14,77.66,80.19,83.06,86.00,88.92,91.23,93.65,95.76,98.06,100.00,101.95,104.28,106.33,108.85,111.14,113.68,116.85
CP11,Restaurants and hotels,65.07,66.19,67.45,68.60,69.90,71.68,74.50,76.48,78.73,80.69,82.60,84.96,87.56,88.96,89.57,91.38,93.94,96.02,98.61,100.00,101.73,103.40,105.63,107.12,108.07,108.97,114.06
CP12,Miscellaneous goods and services,70.44,71.08,71.41,71.67,72.74,74.52,76.54,78.43,80.15,81.37,83.68,85.33,86.98,89.12,91.63,94.01,96.78,98.12,98.95,100.00,101.15,102.38,103.62,104.69,105.49,107.33,110.71
CP01,Food and non-alcoholic beverages,-4.4,1.8,1.6,0.2,2.2,5.5,2.7,2.3,0.5,0.2,1.7,1.4,5.1,0.1,0.8,2.0,2.9,1.2,-0.8,0.4,0.6,1.1,2.0,2.4,2.0,0.6,7.3
CP02,Alcoholic beverages and tobacco,-23.0,4.7,2.2,3.5,3.0,3.2,4.9,8.7,14.3,0.1,0.4,1.9,3.6,2.2,3.6,3.7,5.2,5.2,3.6,0.6,0.5,1.6,7.6,6.7,7.5,3.3,1.3
CP03,Clothing and footwear,-6.2,0.5,-0.2,0.1,0.2,0.6,0.9,-0.4,0.3,0.2,0.2,0.6,0.6,1.0,0.5,0.1,2.2,1.0,0.0,-0.8,0.2,0.1,0.2,-0.2,-0.4,0.2,2.7
CP04,"Housing, water, electricity, gas and other fuels",-12.7,1.5,0.5,0.0,1.9,1.1,1.6,2.7,2.8,4.8,4.7,3.0,4.7,-0.1,3.3,4.4,3.4,2.4,1.8,0.4,-0.1,1.6,2.4,1.5,-0.2,3.7,9.3
CP05,Household furnishings/equipment/maintenance,-7.6,0.8,0.8,0.5,0.5,1.9,1.5,1.3,1.3,1.0,1.0,1.1,1.6,1.5,0.3,1.1,1.9,1.1,-0.1,0.0,-0.1,-0.2,0.2,0.2,0.6,1.4,5.7
CP06,Health,-13.5,3.0,1.6,1.9,1.1,-0.1,1.4,3.2,2.9,2.2,3.0,2.1,3.6,0.7,1.2,0.9,1.0,-0.4,0.1,-0.7,-0.6,0.3,0.2,-0.4,0.0,-0.7,0.8
CP07,Transport,-11.7,1.1,0.0,1.0,4.5,0.3,1.1,2.4,3.4,4.4,3.0,2.4,5.2,-2.3,3.7,4.6,2.8,0.5,0.3,-1.6,-1.1,3.1,4.3,1.0,-2.1,4.5,9.9
CP08,Communication,-2.2,-2.0,-4.0,0.1,-4.8,-4.5,-0.4,-0.5,0.2,-0.3,-5.3,-0.9,-0.2,-0.1,-0.7,-3.0,-9.0,-9.6,-0.6,0.4,0.7,-4.2,-2.0,-2.6,-0.1,2.0,0.1
CP09,Recreation and culture,-7.0,0.1,0.3,-0.4,-0.4,0.4,0.5,-0.5,-0.6,-1.0,-1.1,-1.6,-1.4,-1.4,-0.9,-1.0,0.1,-0.3,-0.4,0.2,1.1,0.2,0.9,0.5,0.9,1.3,3.0
CP10,Education,-15.0,1.0,1.2,1.6,1.6,2.3,2.7,2.8,2.8,2.6,3.4,3.3,3.6,3.5,3.4,2.6,2.7,2.2,2.4,2.0,2.0,2.3,2.0,2.4,2.1,2.3,2.8
CP11,Restaurants and hotels,-15.4,1.7,1.9,1.7,1.9,2.5,3.9,2.7,2.9,2.5,2.4,2.9,3.1,1.6,0.7,2.0,2.8,2.2,2.7,1.4,1.7,1.6,2.1,1.4,0.9,0.8,4.7
CP12,Miscellaneous goods and services,-9.9,0.9,0.5,0.4,1.5,2.4,2.7,2.5,2.2,1.5,2.8,2.0,1.9,2.5,2.8,2.6,2.9,1.4,0.8,1.1,1.1,1.2,1.2,1.0,0.8,1.7,3.2
