subcategory,description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CP121,12.1,76.96,77.90,78.98,80.48,83.42,86.34,89.00,90.54,90.97,92.36,93.45,95.50,96.90,97.76,98.90,100.29,100.65,100.18,100.00,100.04,100.32,100.61,100.94,101.04,101.75,104.70,111.34
CP123,12.3,63.63,63.34,62.56,63.07,64.15,65.45,66.14,66.59,67.23,71.47,74.63,78.01,81.06,85.48,92.47,98.22,100.17,99.22,100.00,101.54,102.50,103.18,103.31,105.00,108.39,111.82,114.70
CP124,12.4,:,:,:,65.12,66.33,67.77,69.80,72.64,75.70,78.82,81.12,83.66,86.29,88.49,91.03,93.77,96.31,98.35,100.00,101.56,102.94,104.83,106.60,107.92,113.12,119.94,125.44
CP125,12.5,72.33,71.01,69.90,70.63,71.73,73.65,76.00,78.89,80.28,82.54,84.20,83.91,84.63,89.04,90.44,93.97,95.64,97.58,100.00,102.08,104.23,106.10,107.78,108.58,109.63,111.37,115.20
CP126,12.6,74.94,77.01,78.74,80.49,82.29,83.46,84.93,85.71,87.24,88.94,89.53,90.05,91.51,92.72,93.99,95.49,97.06,99.33,100.00,102.38,104.93,106.04,106.22,107.28,108.53,111.12,111.03
CP127,12.7,72.63,73.22,73.59,74.58,76.12,78.04,79.33,80.88,82.25,83.53,84.25,86.23,91.48,92.62,94.89,96.46,97.46,98.99,100.00,100.30,101.15,102.47,103.71,104.34,103.74,106.93,109.39
CP121,12.1,1.7,1.2,1.4,1.9,3.7,3.5,3.1,1.7,0.5,1.5,1.2,2.2,1.5,0.9,1.2,1.4,0.4,-0.5,-0.2,0.0,0.3,0.3,0.3,0.1,0.7,2.9,6.3
CP123,12.3,-0.2,-0.5,-1.2,0.8,1.7,2.0,1.1,0.7,1.0,6.3,4.4,4.5,3.9,5.5,8.2,6.2,2.0,-0.9,0.8,1.5,1.0,0.7,0.1,1.6,3.2,3.2,2.6
CP124,12.4,:,:,:,:,1.9,2.2,3.0,4.1,4.2,4.1,2.9,3.1,3.1,2.5,2.9,3.0,2.7,2.1,1.7,1.6,1.4,1.8,1.7,1.2,4.8,6.0,4.6
CP125,12.5,-0.4,-1.8,-1.6,1.0,1.6,2.7,3.2,3.8,1.8,2.8,2.0,-0.4,0.9,5.2,1.6,3.9,1.8,2.0,2.5,2.1,2.1,1.8,1.6,0.7,1.0,1.6,3.4
CP126,12.6,0.0,2.8,2.2,2.2,2.2,1.4,1.8,0.9,1.8,1.9,0.7,0.6,1.6,1.3,1.4,1.6,1.6,2.3,0.7,2.4,2.5,1.1,0.2,1.0,1.2,2.4,-0.1
CP127,12.7,1.5,0.8,0.5,1.3,2.1,2.5,1.7,2.0,1.7,1.6,0.9,2.4,6.1,1.2,2.5,1.7,1.0,1.6,1.0,0.3,0.8,1.3,1.2,0.6,-0.6,3.1,2.3
