SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
FRA.1.0.0.0.UWCD,FRA,1.0,0.0,0.0,0.0,UWCD,France,01 Compensation of employees,Compensation of employees: total economy ,Mrd EURO-FRF,20.791,23.248,26.284,30.087,33.534,36.218,39.056,42.237,47.537,54.425,61.799,69.712,77.928,89.662,107.182,126.462,147.08,167.274,189.466,215.236,247.287,280.664,321.732,353.566,379.901,402.557,423.578,442.314,467.558,497.538,530.998,554.334,575.417,585.723,597.919,619.848,637.269,654.028,678.016,709.318,748.654,781.644,813.794,837.82,866.987,899.274,937.326,974.335,1003.885,1006.633,1032.729,1064.378,1088.78,1107.915,1126.855,1143.091,1164.986,1202.199,1231.985,1243.041,1195.012,1285.636,1377.05,1448.933,1499.645,1535.637,1572.492
HRV.1.0.0.0.UWCD,HRV,1.0,0.0,0.0,0.0,UWCD,Croatia,01 Compensation of employees,Compensation of employees: total economy ,Mrd EURO-HRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09168,8.06655,9.30328,10.60136,11.33673,12.15206,12.39592,13.76954,15.22499,16.1977,17.20521,18.4641,20.29216,21.84766,21.68833,21.05598,20.98034,20.76318,20.46941,20.57435,20.96853,21.54045,22.55043,24.1323,24.9493,24.86541,26.58584,30.4103,36.03718,41.29861,44.18951,46.39899
ITA.1.0.0.0.UWCD,ITA,1.0,0.0,0.0,0.0,UWCD,Italy,01 Compensation of employees,Compensation of employees: total economy ,Mrd EURO-ITL,5.1701,5.7466,6.6862,8.1347,9.0612,9.6073,10.2746,11.3648,12.3573,13.6159,15.9216,18.3014,20.3924,24.5105,30.6359,36.9458,45.3853,55.3519,64.1121,77.7436,95.6935,116.3686,135.5299,155.6994,173.6825,193.9648,209.5803,227.3349,249.4407,273.2777,305.7994,335.0669,351.1092,357.9843,366.1288,380.4652,406.1484,425.6654,424.0727,439.1286,456.6956,481.2742,503.5289,524.389,543.3779,566.7351,592.1013,614.8985,636.7028,632.3164,640.1786,649.0672,640.1097,634.1138,635.9379,649.3151,665.2235,682.7548,703.6504,718.9568,677.9612,738.2206,783.5966,824.0265,870.996,904.9649,932.1138
CYP.1.0.0.0.UWCD,CYP,1.0,0.0,0.0,0.0,UWCD,Cyprus,01 Compensation of employees,Compensation of employees: total economy ,Mrd EURO-CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09787,3.27471,3.49614,3.66663,3.90763,4.2096,4.48594,4.83821,5.36485,5.7158,6.38534,6.93096,7.63106,8.37927,8.92285,9.25784,9.55106,9.40663,8.37187,7.90099,7.92914,8.2319,8.84001,9.55321,10.58221,10.57214,11.40803,12.77645,13.638,14.60591,15.24919,15.85777
LVA.1.0.0.0.UWCD,LVA,1.0,0.0,0.0,0.0,UWCD,Latvia,01 Compensation of employees,Compensation of employees: total economy ,Mrd EURO-LVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0434,0.08876,0.54544,1.00601,1.3614,1.66799,2.08335,2.31523,2.51524,2.68395,2.83856,3.00116,3.21521,3.67155,4.23361,5.47593,7.07483,9.98656,11.75203,8.84059,7.71056,8.03855,8.75263,9.44924,10.09555,10.89371,11.55814,12.4683,13.87447,14.93385,15.01554,15.8691,17.87223,20.68029,22.49832,23.39825,24.21719
LTU.1.0.0.0.UWCD,LTU,1.0,0.0,0.0,0.0,UWCD,Lithuania,01 Compensation of employees,Compensation of employees: total economy ,Mrd EURO-LTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05497,0.37193,1.33143,2.01459,2.90195,3.69065,4.5364,5.41539,5.45377,5.22285,5.36529,5.81031,6.44304,7.31009,8.52002,10.2773,12.3259,14.35507,11.98683,11.47312,12.28698,12.97338,13.74687,14.61904,15.65783,17.01122,18.56025,20.38225,22.64462,23.82572,26.97046,31.41116,35.77629,39.35392,41.91192,44.00752
LUX.1.0.0.0.UWCD,LUX,1.0,0.0,0.0,0.0,UWCD,Luxembourg,01 Compensation of employees,Compensation of employees: total economy ,Mrd EURO-LUF,0.30273,0.31889,0.33934,0.36948,0.43345,0.46165,0.494,0.50571,0.53803,0.58207,0.69056,0.77469,0.8821,1.01099,1.29114,1.481,1.65107,1.8217,1.92307,2.0791,2.29829,2.52397,2.69934,2.88044,3.1103,3.30216,3.57063,3.82884,4.10544,4.63213,5.08495,5.60338,6.1375,6.60911,7.05953,7.34435,7.74312,8.21066,8.6838,9.55427,10.65604,11.63848,12.45955,12.87171,13.6481,14.61204,15.84229,17.25097,18.56726,19.02172,19.73589,21.10747,21.90433,22.98006,24.04154,25.05809,25.99445,27.76546,29.70867,31.33706,32.25447,34.91046,38.18983,41.86771,43.50055,45.71908,48.05075
HUN.1.0.0.0.UWCD,HUN,1.0,0.0,0.0,0.0,UWCD,Hungary,01 Compensation of employees,Compensation of employees: total economy ,Mrd HUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601.72,1900.99,2210.13,2627.87,3161.2,3901.4,4592.38,5019.21,5910.39,6907.15,7692.35,8700.79,9587.32,10425.29,11092.95,11744.39,12334.32,11893.49,12009.65,12462.02,12948.0,13312.15,13995.22,14642.64,15589.85,16917.66,18339.54,20179.52,20494.89,22428.72,26701.54,30745.68,34803.27,37570.14,40405.3
MLT.1.0.0.0.UWCD,MLT,1.0,0.0,0.0,0.0,UWCD,Malta,01 Compensation of employees,Compensation of employees: total economy ,Mrd EURO-MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86098,0.95534,1.0352,1.15558,1.23925,1.39685,1.51331,1.57541,1.65863,1.73525,1.80433,1.94527,2.02337,2.13558,2.18663,2.24979,2.39684,2.52351,2.70492,2.76088,2.89645,3.09465,3.27261,3.49735,3.74783,4.12925,4.53008,4.95104,5.64641,6.17935,6.43173,6.91409,7.54809,8.18995,8.92705,9.59657,10.14358
NLD.1.0.0.0.UWCD,NLD,1.0,0.0,0.0,0.0,UWCD,Netherlands,01 Compensation of employees,Compensation of employees: total economy ,Mrd EURO-NLG,10.3249,11.3368,12.4571,13.8961,16.5836,18.7884,21.1376,23.0695,25.4409,29.475,33.7522,38.7879,43.4412,50.3489,58.5102,66.2136,73.5877,80.4666,87.3159,94.0153,99.8659,102.1171,105.2193,106.6047,107.0987,111.1698,115.975,119.9377,123.2768,127.0918,135.047,143.4474,151.9008,156.2003,159.9994,165.56,171.981,181.634,194.666,209.646,226.797,239.194,251.188,257.981,261.726,265.911,274.752,290.622,307.808,312.32,311.9,319.887,324.274,325.151,328.743,330.994,342.642,354.478,372.9,393.062,406.33,423.799,454.769,489.593,523.8645,550.0577,572.06
