Libellé,Dividendes versés par les sociétés financières - Valeur aux prix courants - Série CVS - Série arrêtée
1960-T1,13
1960-T2,14
1960-T3,14
1960-T4,14
1961-T1,14
1961-T2,14
1961-T3,14
1961-T4,15
1962-T1,15
1962-T2,15
1962-T3,16
1962-T4,18
1963-T1,20
1963-T2,20
1963-T3,19
1963-T4,16
1964-T1,12
1964-T2,9
1964-T3,7
1964-T4,7
1965-T1,8
1965-T2,8
1965-T3,9
1965-T4,9
1966-T1,9
1966-T2,9
1966-T3,9
1966-T4,9
1967-T1,10
1967-T2,10
1967-T3,10
1967-T4,9
1968-T1,8
1968-T2,8
1968-T3,10
1968-T4,13
1969-T1,18
1969-T2,25
1969-T3,35
1969-T4,48
1970-T1,63
1970-T2,76
1970-T3,85
1970-T4,92
1971-T1,96
1971-T2,104
1971-T3,114
1971-T4,128
1972-T1,146
1972-T2,158
1972-T3,165
1972-T4,166
1973-T1,163
1973-T2,171
1973-T3,192
1973-T4,224
1974-T1,268
1974-T2,298
1974-T3,315
1974-T4,317
1975-T1,306
1975-T2,299
1975-T3,295
1975-T4,296
1976-T1,302
1976-T2,307
1976-T3,311
1976-T4,316
1977-T1,321
1977-T2,324
1977-T3,325
1977-T4,324
1978-T1,321
1978-T2,320
1978-T3,321
1978-T4,324
1979-T1,329
1979-T2,336
1979-T3,346
1979-T4,357
1980-T1,339
1980-T2,355
1980-T3,391
1980-T4,448
1981-T1,525
1981-T2,577
1981-T3,604
1981-T4,606
1982-T1,584
1982-T2,561
1982-T3,538
1982-T4,516
1983-T1,493
1983-T2,494
1983-T3,519
1983-T4,567
1984-T1,639
1984-T2,715
1984-T3,794
1984-T4,878
1985-T1,965
1985-T2,1055
1985-T3,1147
1985-T4,1241
1986-T1,1338
1986-T2,1403
1986-T3,1438
1986-T4,1441
1987-T1,1413
1987-T2,1426
1987-T3,1480
1987-T4,1574
1988-T1,1710
1988-T2,1837
1988-T3,1957
1988-T4,2069
1989-T1,2173
1989-T2,2217
1989-T3,2200
1989-T4,2124
1990-T1,1986
1990-T2,1982
1990-T3,2110
1990-T4,2371
1991-T1,2764
1991-T2,3057
1991-T3,3251
1991-T4,3344
1992-T1,3337
1992-T2,3334
1992-T3,3337
1992-T4,3343
1993-T1,3355
1993-T2,3362
1993-T3,3364
1993-T4,3362
1994-T1,3356
1994-T2,3337
1994-T3,3304
1994-T4,3258
1995-T1,3200
1995-T2,3147
1995-T3,3100
1995-T4,3059
1996-T1,3023
1996-T2,3007
1996-T3,3008
1996-T4,3028
1997-T1,3067
1997-T2,3056
1997-T3,2995
1997-T4,2884
1998-T1,3660
1998-T2,3460
1998-T3,3425
1998-T4,3554
1999-T1,3848
1999-T2,4069
1999-T3,4218
1999-T4,4294
2000-T1,4299
2000-T2,4441
2000-T3,4721
2000-T4,5139
2001-T1,5695
2001-T2,6142
2001-T3,6480
2001-T4,6709
2002-T1,6829
2002-T2,6920
2002-T3,6981
2002-T4,7013
2003-T1,7015
2003-T2,7050
2003-T3,7118
2003-T4,7218
2004-T1,7350
2004-T2,7386
2004-T3,7326
2004-T4,7169
2005-T1,6916
2005-T2,6804
2005-T3,6833
2005-T4,7004
2006-T1,7578
2006-T2,7951
2006-T3,7790
2006-T4,8225
2007-T1,8974
2007-T2,9269
2007-T3,9392
2007-T4,9343
2008-T1,9123
2008-T2,8807
2008-T3,8396
2008-T4,7890
2009-T1,7288
2009-T2,6856
2009-T3,6595
2009-T4,6504
2010-T1,6583
2010-T2,6859
2010-T3,7333
2010-T4,8004
2011-T1,8873
2011-T2,9184
2011-T3,8938
2011-T4,8134
2012-T1,6773
2012-T2,5917
2012-T3,5565
2012-T4,5719
2013-T1,6378
2013-T2,6750
2013-T3,6835
2013-T4,6632
2014-T1,6142
2014-T2,5941
2014-T3,6029
2014-T4,6406
2015-T1,7073
2015-T2,7520
2015-T3,7748
2015-T4,7757
2016-T1,7547
2016-T2,7513
2016-T3,7655
2016-T4,7974
2017-T1,8468
2017-T2,8841
2017-T3,9092
2017-T4,9222
2018-T1,9230
2018-T2,9383
2018-T3,9680
2018-T4,10122
2019-T1,10708
2019-T2,10787
2019-T3,10360
2019-T4,9427
2020-T1,7987
2020-T2,7128
2020-T3,6847
2020-T4,7147
2021-T1,8026
2021-T2,8537
2021-T3,8679
2021-T4,8453
2022-T1,7858
2022-T2,7669
2022-T3,7885
2022-T4,8508
2023-T1,9536
2023-T2,10302
2023-T3,10807
2023-T4,11050
