Entity,Code,Year,"Average effective age of retirement, women (OECD)"
Argentina,ARG,1982,70.9
Argentina,ARG,1983,67.3
Argentina,ARG,1984,67.9
Argentina,ARG,1985,68
Argentina,ARG,1986,68.4
Argentina,ARG,1987,68.8
Argentina,ARG,1988,70.6
Argentina,ARG,1989,70.7
Argentina,ARG,1990,68.2
Argentina,ARG,1991,68.7
Argentina,ARG,1992,69.6
Argentina,ARG,1993,69.2
Argentina,ARG,1994,68.9
Argentina,ARG,1995,67.5
Argentina,ARG,1996,66.9
Argentina,ARG,1997,67.90000153
Argentina,ARG,1998,69
Argentina,ARG,1999,70.3
Argentina,ARG,2000,71.6
Argentina,ARG,2001,69.7
Argentina,ARG,2002,68.3
Argentina,ARG,2003,67.3
Argentina,ARG,2004,67
Argentina,ARG,2005,65.9
Argentina,ARG,2006,66
Argentina,ARG,2007,63.8
Argentina,ARG,2008,63.4
Argentina,ARG,2009,64
Argentina,ARG,2010,64.8
Argentina,ARG,2011,65
Argentina,ARG,2012,65.9
Argentina,ARG,2013,64.8
Argentina,ARG,2014,64.1
Argentina,ARG,2015,63.9
Argentina,ARG,2016,63.2
Argentina,ARG,2017,63.70000076
Argentina,ARG,2018,64.30000305
Australia,AUS,1970,65.2
Australia,AUS,1971,64.9
Australia,AUS,1972,64.4
Australia,AUS,1973,63.6
Australia,AUS,1974,63.5
Australia,AUS,1975,61.7
Australia,AUS,1976,62.6
Australia,AUS,1977,60.9
Australia,AUS,1978,60.3
Australia,AUS,1979,60.2
Australia,AUS,1980,60
Australia,AUS,1981,59.5
Australia,AUS,1982,59.5
Australia,AUS,1983,58.7
Australia,AUS,1984,58.7
Australia,AUS,1985,58.9
Australia,AUS,1986,59.3
Australia,AUS,1987,59
Australia,AUS,1988,60.1
Australia,AUS,1989,60
Australia,AUS,1990,60.4
Australia,AUS,1991,60
Australia,AUS,1992,60.1
Australia,AUS,1993,60.5
Australia,AUS,1994,59.2
Australia,AUS,1995,59.4
Australia,AUS,1996,59
Australia,AUS,1997,59
Australia,AUS,1998,59
Australia,AUS,1999,59.5
Australia,AUS,2000,59.6
Australia,AUS,2001,60.1
Australia,AUS,2002,60.5
Australia,AUS,2003,61
Australia,AUS,2004,60.6
Australia,AUS,2005,61.3
Australia,AUS,2006,62.1
Australia,AUS,2007,61.8
Australia,AUS,2008,61.4
Australia,AUS,2009,62.5
Australia,AUS,2010,62.7
Australia,AUS,2011,62.7
Australia,AUS,2012,62.7
Australia,AUS,2013,62.9
Australia,AUS,2014,62.7
Australia,AUS,2015,63.2
Australia,AUS,2016,63.6
Australia,AUS,2017,64.19999695
Australia,AUS,2018,64.30000305
Austria,AUT,1970,64.2
Austria,AUT,1971,64.3
Austria,AUT,1972,64.3
Austria,AUT,1973,65
Austria,AUT,1974,65.4
Austria,AUT,1975,65.2
Austria,AUT,1976,64.8
Austria,AUT,1977,64.7
Austria,AUT,1978,64
Austria,AUT,1979,63
Austria,AUT,1980,62.6
Austria,AUT,1981,62.1
Austria,AUT,1982,61.7
Austria,AUT,1983,61.4
Austria,AUT,1984,61.7
Austria,AUT,1985,61.4
Austria,AUT,1986,60.9
Austria,AUT,1987,61
Austria,AUT,1988,60.8
Austria,AUT,1989,60.7
Austria,AUT,1990,60.8
Austria,AUT,1991,60.7
Austria,AUT,1992,60.4
Austria,AUT,1993,60
Austria,AUT,1994,59.8
Austria,AUT,1995,59.6
Austria,AUT,1996,59.5
Austria,AUT,1997,59.79999924
Austria,AUT,1998,59.90000153
Austria,AUT,1999,59.1
Austria,AUT,2000,58.9
Austria,AUT,2001,58.3
Austria,AUT,2002,59.1
Austria,AUT,2003,59
Austria,AUT,2004,58.2
Austria,AUT,2005,57.9
Austria,AUT,2006,58.8
Austria,AUT,2007,57.7
Austria,AUT,2008,57.5
Austria,AUT,2009,57.3
Austria,AUT,2010,57.8
Austria,AUT,2011,58.3
Austria,AUT,2012,59.3
Austria,AUT,2013,60.1
Austria,AUT,2014,60.2
Austria,AUT,2015,60.3
Austria,AUT,2016,60.6
Austria,AUT,2017,61.09999847
Austria,AUT,2018,60.79999924
Belgium,BEL,1970,62.7
Belgium,BEL,1971,62.9
Belgium,BEL,1972,63.1
Belgium,BEL,1973,63.1
Belgium,BEL,1974,63
Belgium,BEL,1975,63
Belgium,BEL,1976,61.8
Belgium,BEL,1977,60.2
Belgium,BEL,1978,59.9
Belgium,BEL,1979,59.8
Belgium,BEL,1980,59
Belgium,BEL,1981,58.9
Belgium,BEL,1982,59.2
Belgium,BEL,1983,58.1
Belgium,BEL,1984,57.4
Belgium,BEL,1985,57.5
Belgium,BEL,1986,57.2
Belgium,BEL,1987,56.3
Belgium,BEL,1988,55.9
Belgium,BEL,1989,55.9
Belgium,BEL,1990,56.1
Belgium,BEL,1991,56.5
Belgium,BEL,1992,55.4
Belgium,BEL,1993,56.8
Belgium,BEL,1994,56.8
Belgium,BEL,1995,56.4
Belgium,BEL,1996,55.5
Belgium,BEL,1997,56.79999924
Belgium,BEL,1998,56.79999924
Belgium,BEL,1999,57.6
Belgium,BEL,2000,57.1
Belgium,BEL,2001,57
Belgium,BEL,2002,56.8
Belgium,BEL,2003,56.4
Belgium,BEL,2004,57
Belgium,BEL,2005,57.6
Belgium,BEL,2006,57.9
Belgium,BEL,2007,59
Belgium,BEL,2008,59.3
Belgium,BEL,2009,59.8
Belgium,BEL,2010,59
Belgium,BEL,2011,59
Belgium,BEL,2012,58.7
Belgium,BEL,2013,59
Belgium,BEL,2014,59.2
Belgium,BEL,2015,59.6
Belgium,BEL,2016,59.7
Belgium,BEL,2017,60.09999847
Belgium,BEL,2018,60.5
Brazil,BRA,1970,73.6
Brazil,BRA,1971,73.7
Brazil,BRA,1972,73.9
Brazil,BRA,1973,74.1
Brazil,BRA,1974,74.5
Brazil,BRA,1975,74.4
Brazil,BRA,1976,74.2
Brazil,BRA,1977,74
Brazil,BRA,1978,73.7
Brazil,BRA,1979,73.5
Brazil,BRA,1980,73.3
Brazil,BRA,1981,73
Brazil,BRA,1982,72.6
Brazil,BRA,1983,72.3
Brazil,BRA,1984,72
Brazil,BRA,1985,71.7
Brazil,BRA,1986,70.1
Brazil,BRA,1987,71.5
Brazil,BRA,1988,70.1
Brazil,BRA,1989,69.4
Brazil,BRA,1990,68.6
Brazil,BRA,1991,67.4
Brazil,BRA,1992,65
Brazil,BRA,1993,63.6
Brazil,BRA,1994,65.1
Brazil,BRA,1995,65.2
Brazil,BRA,1996,63.4
Brazil,BRA,1997,63.90000153
Brazil,BRA,1998,63.29999924
Brazil,BRA,1999,63.9
Brazil,BRA,2000,62.8
Brazil,BRA,2001,63.9
Brazil,BRA,2002,63.8
Brazil,BRA,2003,65.1
Brazil,BRA,2004,63.8
Brazil,BRA,2005,64.7
Brazil,BRA,2006,65.6
Brazil,BRA,2007,63.6
Brazil,BRA,2008,63.2
Brazil,BRA,2009,63.5
Brazil,BRA,2010,63
Brazil,BRA,2011,62.3
Brazil,BRA,2012,62.7
Brazil,BRA,2013,63
Brazil,BRA,2014,62.4
Brazil,BRA,2015,62.6
Brazil,BRA,2016,63.5
Brazil,BRA,2017,63.20000076
Brazil,BRA,2018,63.29999924
Bulgaria,BGR,1970,59.5
Bulgaria,BGR,1971,59.1
Bulgaria,BGR,1972,58.8
Bulgaria,BGR,1973,58.5
Bulgaria,BGR,1974,58.2
Bulgaria,BGR,1975,58
Bulgaria,BGR,1976,57.6
Bulgaria,BGR,1977,57.2
Bulgaria,BGR,1978,56.8
Bulgaria,BGR,1979,56.3
Bulgaria,BGR,1980,55.9
Bulgaria,BGR,1981,56
Bulgaria,BGR,1982,56.1
Bulgaria,BGR,1983,56.2
Bulgaria,BGR,1984,56.4
Bulgaria,BGR,1985,56.5
Bulgaria,BGR,1986,56.8
Bulgaria,BGR,1987,57.1
Bulgaria,BGR,1988,57.3
Bulgaria,BGR,1989,57.5
Bulgaria,BGR,1990,57.6
Bulgaria,BGR,1991,57.2
Bulgaria,BGR,1992,56.8
Bulgaria,BGR,1993,56.3
Bulgaria,BGR,1994,55.8
Bulgaria,BGR,1995,55.4
Bulgaria,BGR,1996,54.9
Bulgaria,BGR,1997,54.40000153
Bulgaria,BGR,1998,54.5
Bulgaria,BGR,1999,54.6
Bulgaria,BGR,2000,54.7
Bulgaria,BGR,2001,55.4
Bulgaria,BGR,2002,55.3
Bulgaria,BGR,2003,54.5
Bulgaria,BGR,2004,55.4
Bulgaria,BGR,2005,55.9
Bulgaria,BGR,2006,56.8
Bulgaria,BGR,2007,58.9
Bulgaria,BGR,2008,60.8
Bulgaria,BGR,2009,60.4
Bulgaria,BGR,2010,60.5
Bulgaria,BGR,2011,60.1
Bulgaria,BGR,2012,59.5
Bulgaria,BGR,2013,60.2
Bulgaria,BGR,2014,60.7
Bulgaria,BGR,2015,61
