SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,ALB,,,,,,Albania,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27010342,0.2779844833333333,0.2858655466666666,0.29374661,0.3016276733333333,0.3095087366666667,0.3173898,0.3135787133333333,0.3097676266666667,0.30595654,0.3039199266666667,0.3018833133333333,0.2998467,0.297286235,0.29472577,0.292165305,0.28960484,0.3177969,0.34598896,0.32753733,0.33736297,0.33055663,0.30148283,0.30115768,0.2941963,,,
,DZA,,,,,,Algeria,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37356994,0.3706743114285714,0.3677786828571428,0.3648830542857142,0.3619874257142857,0.3590917971428571,0.3561961685714285,0.35330054,0.34847908875,0.3436576375,0.33883618625,0.334014735,0.32919328375,0.3243718325,0.31955038125,0.31472893,0.30990747875,0.3050860274999999,0.3002645762499999,0.295443125,0.29062167375,0.2858002225,0.28097877125,0.27615732,,,,,,,,,,,,
,AGO,,,,,,Angola,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5194472,0.5079106925,0.4963741849999999,0.4848376775,0.47330117,0.4617646625,0.450228155,0.4386916475,0.42715514,0.43570362,0.4442521,0.45280058,0.46134906,0.46989754,0.47844602,0.4869945,0.49554298,0.50409146,0.51263994,,,,,
,,,,,,,Argentina (urban),,Gini coefficient,,,,,,,,,,,,,,,,,,,0.4083086,0.411586805,0.41486501,0.418143215,0.42142142,0.424699625,0.42797783,0.4526751,0.4563924649999999,0.46010983,0.463827195,0.46754456,0.45455167,0.4484342,0.458985,0.4887874,0.49491405,0.4908586,0.50713223,0.49766296,0.5103861,0.53294307,0.5376044,0.5099472,0.48483652,0.47810388,0.46444556,0.4628268,0.4498683,0.43759,0.43676597,0.42737958,0.41437393,0.41086507,0.4182253,0.420837885,0.42345047,0.41434836,0.41719007,0.43314177,0.42743757,0.4244559,0.40736493,
,ARM,,,,,,Armenia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36219725,0.357920425,0.3536436,0.34779674,0.33028087,0.37505633,0.35992354,0.29709986,0.31226057,0.2918814,0.2801588,0.29992583,0.29352945,0.29602262,0.30579662,0.3148329,0.32356772,0.32547948,0.3362184,0.344335,0.30031213,0.25131604,0.2794013,0.27945295,
,AUS,,,,,,Australia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,0.31324756,0.316176745,0.31910593,0.322035115,0.3249643,0.326603045,0.32824179,0.329880535,0.33151928,0.3305637833333333,0.3296082866666667,0.32865279,0.3276972933333333,0.3267417966666666,0.3257863,0.3272586533333333,0.3287310066666666,0.3302033599999999,0.3316757133333333,0.3331480666666666,0.33462042,0.33479451,0.3349686,0.3305577,0.33648955,0.3424214,0.34835325,0.3542851,0.350426185,0.34656727,0.3459209475,0.345274625,0.3446283025,0.34398198,0.340417115,0.33685225,0.34008893,0.34332561,,,,,
,AUT,,,,,,Austria,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3082802,0.29914328,0.29317808,0.29065368,0.31340772,0.2967054,0.28964692,0.2913165366666666,0.2929861533333333,0.29465577,0.29788825,0.28715184,0.29587558,0.30579385,0.30437064,0.31494802,0.3025161,0.30801,0.30475533,0.30752888,0.3053535,0.30530685,0.3079501,0.2973688,0.30847305,0.3021043,0.29800606,0.30701602,,
,AZE,,,,,,Azerbaijan,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3464838,0.3494947283333333,0.3525056566666666,0.355516585,0.3585275133333333,0.3615384416666666,0.36454937,0.25277665,0.2683288,0.26621592,0.26554906,,,,,,,,,,,,,,,,,,
,BGD,,,,,,Bangladesh,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,0.2587649,0.26396993,0.26917496,0.27560513,0.2820353,0.28846547,0.2842129966666666,0.2799605233333333,0.27570805,0.2891384975,0.302568945,0.3159993925,0.32942984,0.330356936,0.331284032,0.3322111279999999,0.333138224,0.33406532,0.33365484,0.33324436,0.3328338799999999,0.3324234,0.33201292,0.329870962,0.327729004,0.325587046,0.323445088,0.32130313,0.3217280616666667,0.3221529933333333,0.322577925,0.3230028566666666,0.3234277883333333,0.32385272,0.3254991933333333,0.3271456666666666,0.32879214,0.3304386133333333,0.3320850866666666,0.33373156,
,BLR,,,,,,Belarus,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3201835,0.31738147,0.31167483,0.30576724,0.30336243,0.28821012,0.26479885,0.2755341,0.28275442,0.2961238,0.27826044,0.27689305,0.285666,0.2715255,0.26526198,0.26575053,0.27176666,0.25633225,0.25306615,0.2544457,0.25240526,0.25277847,0.24383356,,,
,BEL,,,,,,Belgium,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,0.2520385,0.25373074,0.2554229799999999,0.25711522,0.2552021399999999,0.2532890599999999,0.25137598,0.2494629,0.2610111533333333,0.2725594066666666,0.28410766,0.2762145299999999,0.2683214,0.2893339833333333,0.3103465666666666,0.33135915,0.3147171566666666,0.2980751633333333,0.28143317,0.30541426,0.29336902,0.28054035,0.29237667,0.28373718,0.28551185,0.28374815,0.2806043,0.27490476,0.27668843,0.28134006,0.27729303,0.2758073,0.27387637,0.2721419,0.27219546,0.2595828,0.2657763,,
,BLZ,,,,,,Belize,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6022769,0.60867983,0.5870800650000001,0.5654803,0.6035009,0.54866445,0.5323102,,,,,,,,,,,,,,,,,,,,,,,,
,BEN,,,,,,Benin,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3857762,0.39185361875,0.3979310375,0.40400845625,0.410085875,0.41616329375,0.4222407125,0.42831813125,0.43439555,0.4448707625,0.455345975,0.4658211875,0.4762964,0.4440264133333333,0.4117564266666667,0.37948644,0.3676436533333333,0.3558008666666666,0.34395808,,
,BTN,,,,,,Bhutan,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40898,0.401961925,0.39494385,0.387925775,0.3809077,0.382344812,0.383781924,0.385219036,0.386656148,0.38809326,0.385357428,0.382621596,0.379885764,0.377149932,0.3744141,0.35645112,0.33848814,0.32052516,0.30256218,0.2845992,
,BOL,,,,,,Bolivia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5814129,0.5808807,0.5803485,0.61563873,0.57366186,0.59274095,0.571371425,0.5500019,0.58518255,0.56660104,0.5453242,0.50814897,0.4922026,0.47650304,0.46080348,0.46579948,0.47588572,0.47829148,0.46731615,0.45240772,0.4461778,0.4257908,0.416443,0.4364544,0.40913323,,
,,,,,,,Bolivia (urban),,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42035723,0.455538865,0.4907205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BIH,,,,,,Bosnia and Herzegovina,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2996643,0.3132344999999999,0.3268047,0.3403749,0.3371218933333333,0.3338688866666666,0.33061588,0.3305373725,0.330458865,0.3303803575,0.33030185,,,,,,,,,,,,
,BWA,,,,,,Botswana,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,0.5421201,0.549539575,0.55695905,0.564378525,0.571798,0.579217475,0.5866369499999999,0.594056425,0.6014759,0.6065643777777777,0.6116528555555555,0.6167413333333333,0.621829811111111,0.6269182888888889,0.6320067666666667,0.6370952444444444,0.6421837222222222,0.6472722,0.6411737428571428,0.6350752857142857,0.6289768285714286,0.6228783714285714,0.6167799142857142,0.6106814571428572,0.604583,0.5926942166666667,0.5808054333333333,0.56891665,0.5570278666666666,0.5451390833333333,0.5332503,,,,,,,,
,BRA,,,,,,Brazil,,Gini coefficient,,,,,,,,,,,,,,,,,,,,0.5786262,0.5835481,0.58902174,0.58297414,0.5552505,0.5843224,0.59642065,0.61370975,0.6324467,0.6044999,0.5677582,0.5310165,0.600656,0.5979798249999999,0.59530365,0.5983732,0.59753734,0.5956541,0.5895037,0.5867646,0.5840255,0.58105445,0.57553095,0.564716,0.56309944,0.5564207,0.54918945,0.5403744,0.5368187,0.53311755,0.5294164,0.53435296,0.5268333,0.5202964,0.51926446,0.533671,0.53321064,0.5388832,0.5350931,0.48902002,0.52938724,0.5201522,
,BGR,,,,,,Bulgaria,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3071431,0.3106967,0.3142503,0.3178039,0.3213575,0.3249111,0.3284647,0.3320183,0.3355719,0.3391254999999999,0.3426790999999999,0.3462326999999999,0.3497863,0.3533399,0.3568935,0.36095893,0.33572584,0.3382308,0.3565347,0.34275046,0.36011046,0.36570963,0.37415925,0.38564444,0.40589708,0.40378964,0.41284075,0.40271127,0.40523154,0.3900545,,
,BFA,,,,,,Burkina Faso,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4802524,0.48488417,0.48951594,0.49414771,0.49877948,0.485526144,0.472272808,0.459019472,0.445766136,0.4325128,0.4266956666666666,0.4208785333333333,0.4150614,0.4092442666666667,0.4034271333333333,0.39761,0.388690452,0.379770904,0.370851356,0.361931808,0.35301226,0.372301025,0.39158979,0.410878555,0.43016732,0.4114158366666667,0.3926643533333333,0.37391287,,
,BDI,,,,,,Burundi,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333381,0.34788101,0.36242392,0.37696683,0.39150974,0.40605265,0.42059556,0.409720945,0.3988463299999999,0.387971715,0.3770970999999999,0.366222485,0.35534787,0.344473255,0.33359864,0.3411188228571428,0.3486390057142857,0.3561591885714286,0.3636793714285714,0.3711995542857143,0.3787197371428571,0.38623992,0.3845714914285714,0.3829030628571429,0.3812346342857143,0.3795662057142857,0.3778977771428571,0.3762293485714286,0.37456092,,,
,CMR,,,,,,Cameroon,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44446665,0.439846908,0.435227166,0.430607424,0.425987682,0.42136794,0.4225067216666667,0.4236455033333333,0.424784285,0.4259230666666667,0.4270618483333334,0.42820063,0.43365893,0.43911723,0.44457553,0.45003383,0.45549213,0.46095043,0.46640873,0.4600304457142857,0.4536521614285714,0.4472738771428571,0.4408955928571428,0.4345173085714285,0.4281390242857143,0.42176074,,
,CAN,,,,,,Canada,,Gini coefficient,,,,,,,,,,0.3724673,0.36074276,0.34901822,0.34494515,0.34087208,0.339082555,0.33729303,0.335992215,0.3346914,0.33216111,0.32963082,0.329306,0.33224514,0.33518428,0.33174872,0.3167582,0.31653875,0.31197873,0.3101252,0.31365362,0.31943396,0.3156432,0.31675926,0.3130381,0.3150958,0.32768053,0.33116943,0.33217245,0.33060935,0.33418295,0.33554783,0.3356031,0.33809465,0.33776483,0.33621806,0.3409054,0.33841008,0.33930567,0.33952153,0.33592603,0.32657078,0.33539012,0.3379898,0.33157605,0.33746484,0.32701823,0.33308205,0.3250927,0.31749648,,,,
,CPV,,,,,,Cape Verde,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5249597,0.5161120633333334,0.5072644266666667,0.49841679,0.4895691533333333,0.4807215166666667,0.47187388,0.46586600375,0.4598581275,0.45385025125,0.447842375,0.44183449875,0.4358266225,0.42981874625,0.42381087,,,,,,,,
