Entity,Code,Year,Average effective age of retirement (OECD)
Argentina,ARG,1960,79.95999999999799
Argentina,ARG,1961,79.42499999999814
Argentina,ARG,1962,78.88999999999828
Argentina,ARG,1963,78.3549999999982
Argentina,ARG,1964,77.81999999999834
Argentina,ARG,1965,77.28499999999849
Argentina,ARG,1966,76.74999999999841
Argentina,ARG,1967,76.21499999999855
Argentina,ARG,1968,75.6799999999987
Argentina,ARG,1969,75.14499999999862
Argentina,ARG,1970,74.60999999999876
Argentina,ARG,1971,74.07499999999891
Argentina,ARG,1972,73.53999999999883
Argentina,ARG,1973,73.00499999999897
Argentina,ARG,1974,72.46999999999912
Argentina,ARG,1975,71.93499999999904
Argentina,ARG,1976,71.39999999999918
Argentina,ARG,1977,70.86499999999933
Argentina,ARG,1978,70.32999999999925
Argentina,ARG,1979,69.79499999999939
Argentina,ARG,1980,69.25999999999931
Argentina,ARG,1981,68.72499999999945
Argentina,ARG,1982,68.75
Argentina,ARG,1983,66.85
Argentina,ARG,1984,67.05000000000001
Argentina,ARG,1985,66.9
Argentina,ARG,1986,67.5
Argentina,ARG,1987,68.05
Argentina,ARG,1988,69.15
Argentina,ARG,1989,69.1
Argentina,ARG,1990,67.75
Argentina,ARG,1991,68.5
Argentina,ARG,1992,69.6
Argentina,ARG,1993,68.80000000000001
Argentina,ARG,1994,68.0
Argentina,ARG,1995,67.4
Argentina,ARG,1996,67.5
Argentina,ARG,1997,68.29999924
Argentina,ARG,1998,69.099998475
Argentina,ARG,1999,69.94999999999999
Argentina,ARG,2000,70.85
Argentina,ARG,2001,69.9
Argentina,ARG,2002,69.25
Argentina,ARG,2003,68.8
Argentina,ARG,2004,68.2
Argentina,ARG,2005,67.25
Argentina,ARG,2006,67.5
Argentina,ARG,2007,66.3
Argentina,ARG,2008,66.5
Argentina,ARG,2009,65.95
Argentina,ARG,2010,66.5
Argentina,ARG,2011,66.85
Argentina,ARG,2012,67.30000000000001
Argentina,ARG,2013,66.15
